source,target,weight,description
TOTAL DEFORMATION,ROLLING,6.0,"Total deformation is a parameter that indicates the extent of the rolling process, which significantly influences the mechanical properties of the final structure."
MILL LOADING,ROLLING,6.0,Mill loading is an essential parameter in rolling that affects the efficiency and quality of the rolling process.
FINE-GRAINED STRUCTURE,TOTAL DEFORMATION,7.0,"Achieving a fine-grained structure depends on the total deformation applied during rolling, improving the material's strength."
ACICULAR FERRITE,BAINITE,5.0,"Acicular ferrite forms through a specific transformation process from upper bainite, highlighting their relationship within steel microstructures."
CEMENTITE,ACICULAR FERRITE,4.0,"Cementite is present in acicular ferrite structures, influencing the mechanical properties of the steel."
MARTENSITE,ACICULAR FERRITE,4.0,"Martensite islands can be present in the acicular ferrite structure, affecting the overall properties and behavior of the steel."
NB,LOW-CARBON STEEL,6.0,"Nb is an alloying element specifically used to enhance the properties of low-carbon steel grades, improving strength and toughness."
V,LOW-CARBON STEEL,1.0,V is another important alloying element that is used to improve the mechanical properties of low-carbon steel.
COILING TEMPERATURE,ROLLING,6.0,The coiling temperature is a critical parameter that influences the cooling rate and final microstructure of the rolled steel.
ROUGHER,ROLLING,8.0,The rougher is a key piece of equipment that carries out significant deformation during the early stages of the rolling process.
FINISHER,ROLLING,8.0,"The finisher equipment is responsible for final processing of the rolled product, affecting its thickness and surface quality."
HEAVY REDUCTION,ROLLING,1.0,"Heavy reduction during the rolling process is essential for achieving specific properties and desired microstructures, particularly in fine-grained steels."
ACICULAR FERRITE,FINE-GRAINED POLYGONAL FERRITE,7.0,Acicular ferrite and fine-grained polygonal ferrite are related as they both contribute to improved strength and toughness in steel structures through their unique microstructures.
FINE-GRAINED POLYGONAL FERRITE,POLYGONAL FERRITE,8.0,Fine-grained polygonal ferrite is a refined version of polygonal ferrite that provides enhanced mechanical properties due to its smaller grain size.
DUAL-PHASE STEEL,CONTROLLED ROLLING,9.0,Dual-phase steel is produced using controlled rolling techniques that optimize its microstructure by manipulating temperature and strain during processing.
CONTROLLED ROLLING,HEAVY DEFORMATION,8.0,"Controlled rolling often involves heavy deformation to achieve desired mechanical properties, enhancing strength through dislocation mechanisms."
BAUSCHINGER EFFECT,HEAVY DEFORMATION,6.0,"The Bauschinger effect is influenced by heavy deformation, which affects the yield strength and behavior of the material following processing."
NIOBIUM(NB),GRAIN REFINING,8.0,"Niobium (Nb) enhances grain refining in steel by forming precipitates that inhibit grain growth, thereby improving strength and toughness."
MARTENSITE,DUAL-PHASE STEEL,9.0,"Martensite exists within the structure of dual-phase steel, providing high hardness and strength necessary for performance under stress."
CHARPY IMPACT TEST,DUAL-PHASE STEEL,1.0,"The Charpy impact test assesses the toughness of materials, including dual-phase steel, by measuring energy absorption during fracture."
ACICULAR FERRITE,API X70,8.0,Acicular ferrite forms contribute to the enhanced mechanical properties of API X70 steel grade required for linepipe applications.
FERRITE,FERRITE-PEARLITE STEELS,9.0,"Ferrite is a primary component of ferrite-pearlite steels, providing ductility and toughness to the overall material properties."
CONTROLLED ROLLING,NON-RECRYSTALLIZATION REGION,1.0,Controlled rolling involves deformation within the non-recrystallization region to enhance strength and toughness through effective grain refinement.
NORMALIZING,STEEL,8.0,Normalizing is a heat treatment process applied to steel to refine its microstructure and improve its properties
QUENCHING,STEEL,9.0,"Quenching is a process used on steel to harden it, leading to changes in microstructure that enhance strength"
TEMPERING,STEEL,8.0,Tempering is performed after quenching on steel to reduce brittleness and improve toughness
ARCTIC LINEPIPE STEEL,CONTROLLED ROLLING,7.0,Arctic linepipe steel is often produced through controlled rolling to achieve the necessary mechanical properties
C-MN STEEL,CONTROLLED ROLLING,6.0,"Controlled rolling can enhance the properties of C-Mn steel, making it suitable for various applications"
NB STEEL,CONTROLLED ROLLING,7.0,Controlled rolling is utilized in Nb steel production to optimize its strength and toughness
FINE-GRAIN SIZE,CONTROLLED ROLLING,9.0,"Controlled rolling processes can create a fine-grain size in steel, enhancing its mechanical properties"
Γ-MICROSTRUCTURE,QUENCHING,8.0,"The γ-microstructure is transformed through quenching, modifying the material's properties significantly"
Α-MICROSTRUCTURE,TEMPERING,7.0,"Tempering affects the α-microstructure of steel, influencing its mechanical properties post-quenching"
YIELD STRENGTH,CONTROLLED ROLLING,8.0,Controlled rolling impacts the yield strength of steel by refining its microstructure
TRANSITION TEMPERATURE,CONTROLLED ROLLING,1.0,"Controlled rolling can lower the transition temperature of steel, enhancing its performance in lower temperatures"
DYNAMIC RECOVERY,CONTROLLED ROLLING,8.0,"Dynamic recovery is enhanced during controlled rolling processes, contributing to improved mechanical properties"
SUBGRAIN HARDENING,CONTROLLED ROLLING,8.0,"Subgrain hardening is a result of the processes involved in controlled rolling, enhancing the strength of steel"
POLYGONAL FERRITE,CONTROLLED ROLLING,13.0,"Controlled rolling is a metallurgical process that significantly aids in the formation of polygonal ferrite microstructures within steel. This technique involves the deformation of steel at carefully regulated temperatures, allowing the transformation of the steel’s microstructure. The process is instrumental in producing polygonal ferrite structures, which are essential in enhancing the overall performance of the steel. The polygonal ferrite microstructures formed via controlled rolling provide improved mechanical properties, leading to materials that are more suitable for various engineering applications. Thus, the combination of controlled rolling and polygonal ferrite microstructures plays a crucial role in optimizing the characteristics of steel."
DEFORMATION BANDS,CONTROLLED ROLLING,1.0,Deformation bands are formed during controlled rolling and significantly affect the microstructural properties of steel
CONTROLLED ROLLING,AUSTENITE,8.0,Controlled rolling transforms austenite into finer microstructures like ferrite and dual-phase steel by manipulating strain and temperature
CONTROLLED ROLLING,FERRITE,7.0,Controlled rolling aims to produce ferrite with desirable properties by managing the cooling and deformation process
NIOBIUM,CONTROLLED ROLLING,5.0,Niobium is utilized as an alloying element during controlled rolling to enhance precipitation hardening
GRAIN REFINEMENT,CONTROLLED ROLLING,8.0,"Controlled rolling leads to grain refinement in the steel structure, boosting strength and mechanical performance"
ACICULAR FERRITE,DUAL-PHASE STEEL,6.0,"Acicular ferrite contributes to the microstructure of dual-phase steel, improving its mechanical properties"
FERRITE,GRAIN REFINEMENT,1.0,Reduction in grain size of ferrite enhances mechanical properties such as toughness and strength
DEFORMATION BANDS,AUSTENITE,7.0,"Deformation bands generated during processing influence grain boundaries of the austenite phase, thus affecting microstructural properties"
PRECIPITATION HARDENING,MARTENSITE,8.0,"The process of precipitation hardening contributes to the formation of martensite, enhancing the hardness of steel"
NUCLEATION POTENTIAL,FERRITE,1.0,Nucleation potential is critical in determining the formation of ferrite during cooling in steel processing
I. KOZASU,T. SHIMIZU,7.0,I. Kozasu and T. Shimizu co-authored publications in the field of materials science and metallurgy
I. KOZASU,H. KUBOTA,6.0,I. Kozasu and H. Kubota both contributed to research in steel processing and microalloying
H. SEKINE,T. MARUYAMA,8.0,H. Sekine and T. Maruyama collaborated on studies related to alloy microstructures
T. TANAKA,N. TABATA,8.0,T. Tanaka and N. Tabata worked together on research concerning hot deformation of steels
T. HATOMURA,C. SHIGA,7.0,T. Hatomura and C. Shiga have authored papers on microalloying
UNION CARBIDE CORPORATION,I. KOZASU,9.0,"I. Kozasu's research has been published under the auspices of Union Carbide Corporation, highlighting their contributions to metallurgy"
THE IRON AND STEEL INSTITUTE OF JAPAN,T. TANAKA,8.0,"T. Tanaka published work through The Iron and Steel Institute of Japan, focusing on hot deformation techniques"
METALLURGICAL SOCIETY OF AIME,H. SEKINE,7.0,"H. Sekine's research has been presented in journals associated with the Metallurgical Society of AIME, connecting him with advances in metallurgical practices"
PROCESSING,LOW-CARBON STEEL,8.0,Processing techniques are critical for enhancing the properties of low-carbon steel
MICROSTRUCTURE,HOT DEFORMATION OF STEELS,1.0,Understanding microstructure is essential for optimizing the hot deformation process of steels
D. DULIEU,A. LE BON,7.0,D. Dulieu and A. Le Bon have published research on microalloying and processing in metallurgy
C. OUCHI,J. D. BAIRD,6.0,C. Ouchi and J. D. Baird have worked together on low-carbon steel processing research
J. J. JONAS,H. SEKINE,8.0,J. J. Jonas and H. Sekine are both noted for their contributions to studies on alloy microstructures
R. A. P. DJAIC,T. TANAKA,7.0,R. A. P. Djaic collaborated with T. Tanaka on publications regarding metallurgical processes
C. ROSSARD,H. J. MCQUEEN,1.0,C. Rossard and H. J. McQueen are connected through their research on the mechanics of steel and alloys
T. HATOMURA,T. TANAKA,7.0,T. Hatomura and T. Tanaka are co-authors contributing to the same research publications in metallurgy
"AMERICAN INSTITUTE OF MINING, METALLURGICAL AND PETROLEUM ENGINEERS",T. HATOMURA,6.0,"T. Hatomura published research under the auspices of the American Institute of Mining, Metallurgical and Petroleum Engineers"
"AMERICAN INSTITUTE OF MINING, METALLURGICAL AND PETROLEUM ENGINEERS",M. LAMBERIGTS,6.0,"M. Lamberigts published research under the American Institute of Mining, Metallurgical and Petroleum Engineers"
M. LAMBERIGTS,T. GREDAY,7.0,M. Lamberigts and T. Greday both contributed to research on hot deformation of austenite
R. PRIESTNER,HEAT TREATMENT,5.0,R. Priestner's work involves heat treatment processes in metallurgy
G. F. MELLOY,MICROSTRUCTURE,5.0,G. F. Melloy’s research includes the study of microstructure and alloy design
T. GREDAY,HOT DEFORMATION,6.0,T. Greday is involved in research related to the hot deformation process of metals
E. L. BROWN,HOT DEFORMATION,1.0,E. L. Brown has published works on the hot deformation of austenite
S. SEKINO,N. MORI,7.0,S. Sekino and N. Mori are co-authors contributing to publications in the field of metallurgy
W.B. MORRISON,H. WATANABE,7.0,W.B. Morrison and H. Watanabe have both contributed to metallurgical research publications
T. H. HASHIMOTO,HOT DEFORMATION,6.0,T. H. Hashimoto has published research on hot deformation processes in metallurgy
K.J. IRVINE,HOT DEFORMATION,6.0,K.J. Irvine’s research involves the process of hot deformation
T. L. CAPELETTI,MICROSTRUCTURE,1.0,T. L. Capeletti's work is related to microstructure studies in metallurgy
TETSUTO-HAGANÉ,HOT DEFORMATION OF AUSTENITE,7.0,Tetsu-to-Hagané articles discuss the process of hot deformation of austenite as a key method for improving steel properties
TETSUTO-HAGANÉ,TOUGHNESS,6.0,Research articles in Tetsu-to-Hagané examine measures to improve toughness in steel
TETSUTO-HAGANÉ,DUCTILITY,6.0,"The journal covers methods related to improving ductility in steel, as reported in literature"
CLIMAX MOLYBDENUM COMPANY,MOLYBDENUM,8.0,"Climax Molybdenum Company is a key supplier for molybdenum, an essential alloying element in steel production"
BRITISH STEEL CORPORATION,DUCTILITY,5.0,British Steel Corporation conducts research to improve ductility in their steel grades
BRITISH STEEL CORPORATION,TOUGHNESS,6.0,British Steel Corporation's production involves enhancing toughness in their steel products for various applications
SECOND-PHASE PARTICLES,TOUGHNESS,7.0,The presence of second-phase particles can significantly affect the toughness of steel
SECOND-PHASE PARTICLES,DUCTILITY,1.0,Second-phase particles influence the ductility of steel by altering its microstructure
UNION CARBIDE CORPORATION,MICROALLOYING,8.0,Union Carbide Corporation is involved in research and development related to the microalloying process for enhancing steel properties
CLIMAX MOLYBDENUM COMPANY,MICROALLOYING,8.0,Climax Molybdenum Company's research includes methods of microalloying for improving molybdenum-containing steels
LOW-CARBON STEEL,MICROALLOYING,9.0,Microalloying techniques are often applied to low-carbon steel to improve its mechanical properties
LOW-CARBON STEEL,DOUCILITY,7.0,"Low-carbon steel is known for its high ductility, which is a key characteristic discussed in relation to its processing"
LOW-CARBON STEEL,TOUGHNESS,7.0,"The toughness of low-carbon steel can be enhanced through various processes, including microalloying"
MICROALLOYING,DOUCILITY,8.0,"Microalloying can improve the ductility of steels, making it a significant process in metallurgy"
MICROALLOYING,TOUGHNESS,1.0,Microalloying is crucial for enhancing the toughness of steel materials
COLDREN,CLIMAX MOLYBDENUM COMPANY,5.0,A. P. Coldren’s research discusses molybdenum-containing steels relevant to the applications of Climax Molybdenum Company.
MIHELICH,COLDREN,7.0,J. L. Mihelich co-authored work with A. P. Coldren on molybdenum-containing steels.
TANAKA,DUAL-PHASE STEELS,8.0,"T. Tanaka's studies focus on the structure and properties of dual-phase steels, which is a specific type of steel with distinct mechanical properties."
TANAKA,STRUCTURE,6.0,"T. Tanaka's research relates to the structure of dual-phase steels, indicating an exploration of their microstructure."
COLDREN,MIHELICH,5.0,A. P. Coldren and J. L. Mihelich collaborated on research regarding the application of molybdenum-containing steels in the industry.
DUAL-PHASE STEELS,STRUCTURE,1.0,"The properties of dual-phase steels are closely related to their microstructural structure, affecting their mechanical performance."
NEW YORK,"AMERICAN INSTITUTE OF MINING, METALLURGICAL AND PETROLEUM ENGINEERS",5.0,"The American Institute is based in New York, where various studies and publications are produced related to metallurgical engineering."
AMERICAN SOCIETY OF MECHANICAL ENGINEERS,NEW YORK,1.0,"The American Society of Mechanical Engineers, which also operates in New York, promotes the development of mechanical engineering through publications and events."
